Título,Descrição,Preço,Local,Ano,KM Rodado
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Feira de Santana, BA",2021/2021,33.557 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","São Paulo, SP",2020/2021,16.080 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Itaguaí, RJ",2020/2021,73.066 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Itaguaí, RJ",2020/2021,73.943 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Itaguaí, RJ",2021/2021,73.271 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","Belém, PA",2020/2021,32.000 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","Teresina, PI",2020/2021,43.000 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","São Paulo, SP",2021/2021,80.938 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","São Paulo, SP",2021/2021,62.220 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","São Paulo, SP",2021/2021,74.866 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Sorocaba, SP",2021/2021,48.691 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Belo Horizonte, MG",2021/2021,78.787 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Blumenau, SC",2021/2021,40.982 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Blumenau, SC",2021/2021,39.188 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Blumenau, SC",2021/2021,43.050 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Blumenau, SC",2021/2021,38.585 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Blumenau, SC",2021/2021,38.425 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Blumenau, SC",2021/2021,40.184 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Curitiba, PR",2021/2021,43.221 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","São Paulo, SP",2021/2021,76.220 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","São Paulo, SP",2020/2021,73.150 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","Recife, PE",2020/2021,28.578 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Campo Grande, MS",2020/2021,70.162 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","Brasília, DF",2020/2021,88.767 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Bauru, SP",2021/2021,42.868 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Bauru, SP",2021/2021,36.905 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Londrina, PR",2021/2021,45.574 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","São João da Boa Vista, SP",2020/2021,61.000 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","Brasília, DF",2020/2021,25.869 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Cascavel, PR",2021/2021,70.639 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Mogi das Cruzes, SP",2020/2021,81.455 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Rio de Janeiro, RJ",2020/2021,43.797 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Campinas, SP",2021/2021,46.927 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Belo Horizonte, MG",2020/2021,78.850 Km
Volkswagen Gol,Gol 1.0 MPI (Flex) manual,"R$ 49.990,00","Campinas, SP",2020/2021,65.000 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Nova Iguaçu, RJ",2020/2021,69.420 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Nova Iguaçu, RJ",2021/2021,81.664 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","São Paulo, SP",2021/2021,78.410 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","São Paulo, SP",2021/2021,43.692 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Rio das Ostras, RJ",2020/2021,78.905 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Rio das Ostras, RJ",2021/2021,69.662 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Belo Horizonte, MG",2020/2021,72.348 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","Rio de Janeiro, RJ",2020/2021,58.599 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Araraquara, SP",2021/2021,59.038 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","São Carlos, SP",2021/2021,40.323 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","São Carlos, SP",2021/2021,44.091 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","São Paulo, SP",2020/2021,77.260 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Campinas, SP",2021/2021,69.543 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Campinas, SP",2021/2021,45.191 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Rio de Janeiro, RJ",2020/2021,85.210 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Rio de Janeiro, RJ",2020/2021,78.905 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Rio de Janeiro, RJ",2020/2021,69.000 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","Natal, RN",2020/2021,32.000 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Porto Alegre, RS",2021/2021,41.444 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Porto Alegre, RS",2021/2021,56.869 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Porto Alegre, RS",2021/2021,75.181 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Uberlândia, MG",2021/2021,41.368 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Uberlândia, MG",2021/2021,44.677 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","São José, SC",2020/2021,45.619 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Piracicaba, SP",2020/2021,67.699 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Betim, MG",2021/2021,40.248 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","São Paulo, SP",2021/2021,77.800 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","Duque de Caxias, RJ",2020/2021,54.638 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Joinville, SC",2021/2021,38.007 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.990,00","Joinville, SC",2021/2021,43.253 Km
Ford Ka,Ka 1.0 SE manual,"R$ 49.990,00","Porto Alegre, RS",2019/2020,51.000 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 49.990,00","Mogi Guaçu, SP",2019/2020,68.000 Km
Renault Logan,Logan Expression 1.0 12V SCe (Flex) manual,"R$ 49.990,00","Duque de Caxias, RJ",2019/2020,200 Km
Volkswagen Gol,Gol 1.0 MPI (Flex) manual,"R$ 49.990,00","Duque de Caxias, RJ",2019/2020,200 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 49.990,00","Rio de Janeiro, RJ",2020/2020,49.400 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 49.990,00","Rio de Janeiro, RJ",2020/2020,36.391 Km
Ford Ka,Ka 1.0 SE manual,"R$ 49.990,00","Cuiabá, MT",2020/2020,69.406 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 49.990,00","São Luís, MA",2020/2020,4.526 Km
Ford Ka,Ka 1.0 SE manual,"R$ 49.990,00","São Paulo, SP",2019/2020,99.999 Km
Renault Kwid,Kwid 1.0 Intense manual,"R$ 49.990,00","Caruaru, PE",2019/2020,51.944 Km
Renault Kwid,Kwid 1.0 Intense manual,"R$ 49.990,00","Rio de Janeiro, RJ",2019/2020,35.000 Km
Volkswagen Gol,Gol 1.6 MSI (Flex) manual,"R$ 49.990,00","Belo Horizonte, MG",2019/2020,64.493 Km
Fiat Uno,Uno Way 1.0 (Flex) manual,"R$ 49.990,00","Brasília, DF",2019/2020,90.000 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 49.990,00","Nova Iguaçu, RJ",2020/2020,67.258 Km
Fiat Grand Siena,Grand Siena 1.0 Attractive manual,"R$ 49.990,00","Santo André, SP",2019/2020,60.950 Km
Volkswagen Gol,Gol 1.0 MPI (Flex) manual,"R$ 49.990,00","Contagem, MG",2019/2020,71.334 Km
Renault Sandero,Sandero Expression 1.0 12V SCe (Flex) manual,"R$ 49.990,00","Campos dos Goytacazes, RJ",2019/2020,73.399 Km
Renault Sandero,Sandero Expression 1.0 12V SCe (Flex) manual,"R$ 49.990,00","Campinas, SP",2019/2020,49.254 Km
Fiat Mobi,Mobi 1.0 Evo Way manual,"R$ 49.990,00","Campinas, SP",2019/2020,76.576 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 49.990,00","Peruíbe, SP",2020/2020,40.000 Km
Fiat Uno,Uno Attractive 1.0 (Flex) manual,"R$ 49.990,00","Vila Velha, ES",2020/2020,49.346 Km
Nissan Versa,Versa 1.0 Conforto (Flex) manual,"R$ 49.990,00","São João de Meriti, RJ",2020/2020,83.280 Km
Renault Sandero,Sandero 1.0 Zen manual,"R$ 49.990,00","São Bernardo do Campo, SP",2019/2020,101.185 Km
Fiat Uno,Uno Attractive 1.0 (Flex) manual,"R$ 49.990,00","São Vicente, SP",2019/2020,112.015 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 49.990,00","Cotia, SP",2020/2020,44.000 Km
Renault Sandero,Sandero 1.0 Life manual,"R$ 49.990,00","São Paulo, SP",2019/2020,89.000 Km
Ford Ka,Ka 1.0 S manual,"R$ 49.990,00","Fortaleza, CE",2020/2020,81.281 Km
Ford Ka,Ka 1.0 SE manual,"R$ 49.990,00","Salvador, BA",2019/2020,72.902 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","Natal, RN",2019/2020,54.582 Km
Ford Ka,Ka 1.0 SE Plus manual,"R$ 49.990,00","São Paulo, SP",2019/2020,70.127 Km
Renault Kwid,Kwid Intense 1.0 12v SCe (Flex) manual,"R$ 49.990,00","Taguatinga, DF",2018/2019,999 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 49.990,00","Belo Horizonte, MG",2018/2019,87.000 Km
Volkswagen Gol,Gol 1.6 MSI (Flex) manual,"R$ 49.990,00","Itu, SP",2018/2019,76.000 Km
Volkswagen Gol,Gol 1.6 MSI (Flex) manual,"R$ 49.990,00","Itu, SP",2019/2019,78.995 Km
Volkswagen Gol,Gol 1.6 MSI (Flex) manual,"R$ 49.990,00","Itu, SP",2018/2019,69.499 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 49.990,00","Fortaleza, CE",2019/2019,69.525 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 49.990,00","Rio de Janeiro, RJ",2019/2019,86.610 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 49.990,00","Campo Grande, MS",2019/2019,47.152 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 49.990,00","São Paulo, SP",2019/2019,108.000 Km
Nissan March,March 1.0 SV (Flex) manual,"R$ 49.990,00","Londrina, PR",2018/2019,49.890 Km
Volkswagen Gol,Gol 1.0 MPI (Flex) manual,"R$ 49.990,00","Brasília, DF",2018/2019,65.900 Km
Ford Ka Sedan,Ka Sedan SE Plus 1.5 (Flex) manual,"R$ 49.990,00","São Paulo, SP",2018/2019,72.000 Km
Renault Sandero,Sandero Expression 1.6 16V SCe (Flex) manual,"R$ 49.990,00","São Paulo, SP",2018/2019,75.625 Km
Nissan Versa,Versa 1.0 Conforto (Flex) manual,"R$ 49.990,00","Rio de Janeiro, RJ",2018/2019,58.000 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 49.990,00","Jundiaí, SP",2019/2019,53.396 Km
Volkswagen Gol,Gol 1.0 MPI (Flex) manual,"R$ 49.990,00","Goiânia, GO",2018/2019,60.000 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 49.990,00","Brasília, DF",2019/2019,75.695 Km
Fiat Grand Siena,Grand Siena Attractive 1.4 Evo (Flex) manual,"R$ 49.990,00","Belo Horizonte, MG",2019/2019,117.333 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 49.990,00","Pindamonhangaba, SP",2019/2019,21.800 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 49.990,00","São João de Meriti, RJ",2019/2019,200 Km
Chevrolet Prisma,Prisma 1.0 SPE/4 Eco Joy manual,"R$ 49.990,00","São João de Meriti, RJ",2019/2019,69.742 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 49.990,00","São Paulo, SP",2018/2019,55.271 Km
Fiat Argo,Argo 1.0 (Flex) manual,"R$ 49.990,00","São Luís de Montes Belos, GO",2018/2019,122.923 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 49.990,00","São Paulo, SP",2018/2019,52.251 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 49.990,00","São Paulo, SP",2017/2018,73.900 Km
Ford Ka Sedan,Ka Sedan SE Plus 1.5 16v (Flex) manual,"R$ 49.990,00","Sorocaba, SP",2018/2018,92.586 Km
Chevrolet Prisma,Prisma 1.0 Joy SPE/4 manual,"R$ 49.990,00","São Luís, MA",2018/2018,48.159 Km
Ford Ka,Ka 1.5 SEL (Flex) manual,"R$ 49.990,00","Cuiabá, MT",2017/2018,74.000 Km
Ford Ka,Ka 1.0 SE Plus (Flex) manual,"R$ 49.990,00","São Paulo, SP",2018/2018,56.000 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 49.990,00","São Paulo, SP",2017/2018,75.000 Km
Volkswagen Gol,Gol 1.6 MSI Trendline (Flex) manual,"R$ 49.990,00","Taquara, RS",2017/2018,84.000 Km
Chevrolet Montana,Montana LS 1.4 (Flex) manual,"R$ 49.990,00","Cuiabá, MT",2017/2018,58.000 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 49.990,00","Florianópolis, SC",2017/2018,39.985 Km
Citroën Aircross,Aircross 1.6 16V Start (Flex) manual,"R$ 49.990,00","Campo Grande, MS",2017/2018,73.211 Km
Chevrolet Prisma,Prisma 1.0 Joy SPE/4 manual,"R$ 49.990,00","Campinas, SP",2017/2018,140.000 Km
Citroën C3,C3 Attraction 1.2 12V (Flex) manual,"R$ 49.990,00","Campinas, SP",2018/2018,89.400 Km
Toyota Etios Hatch,Etios X 1.3 (Flex) manual,"R$ 49.990,00","Guará, DF",2017/2018,300 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.990,00","Olinda, PE",2016/2017,75.720 Km
Citroën C3,C3 Attraction 1.2 12V (Flex) manual,"R$ 49.990,00","São Paulo, SP",2016/2017,35.000 Km
Volkswagen Gol,Gol 1.6 MSI Comfortline (Flex) manual,"R$ 49.990,00","Barra Velha, SC",2017/2017,100.000 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 49.990,00","Piracicaba, SP",2017/2017,89.000 Km
Chevrolet Montana,Montana LS 1.4 (Flex) manual,"R$ 49.990,00","Iperó, SP",2016/2017,155.000 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 49.990,00","Campinas, SP",2016/2017,120.352 Km
Volkswagen Fox,Fox 1.6 MSI Run (Flex) manual,"R$ 49.990,00","São João de Meriti, RJ",2017/2017,119.996 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.990,00","Rio Claro, SP",2016/2017,92.603 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 49.990,00","Belo Horizonte, MG",2016/2017,96.000 Km
Hyundai HB20,HB20 1.0 Comfort Style manual,"R$ 49.990,00","São Paulo, SP",2016/2017,110.517 Km
Toyota Etios Hatch,Etios X 1.3 (Flex) manual,"R$ 49.990,00","Porto Alegre, RS",2016/2017,69.029 Km
Chevrolet Onix,Onix 1.0 LS SPE/4 manual,"R$ 49.990,00","Campinas, SP",2015/2016,76.000 Km
Volkswagen Up!,Up! 1.0 12v TSI E-Flex Move Up! manual,"R$ 49.990,00","Vila Velha, ES",2015/2016,115.000 Km
Hyundai HB20,HB20 1.0 Comfort Plus manual,"R$ 49.990,00","Franca, SP",2016/2016,135.400 Km
Hyundai HB20,HB20 1.0 Comfort Plus manual,"R$ 49.990,00","Franca, SP",2016/2016,110.870 Km
Toyota Etios Hatch,Etios X 1.3 (Flex) manual,"R$ 49.990,00","Macapá, AP",2015/2016,100.867 Km
Hyundai HB20,HB20 1.0 Comfort Plus manual,"R$ 49.990,00","Campinas, SP",2016/2016,160.000 Km
Chevrolet Onix,Onix 1.0 LS SPE/4 manual,"R$ 49.990,00","Campinas, SP",2016/2016,80.000 Km
Ford New Fiesta Hatch,New Fiesta SE 1.5 16V manual,"R$ 49.990,00","Porto Alegre, RS",2015/2016,68.107 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.990,00","Mogi das Cruzes, SP",2016/2016,95.000 Km
Chevrolet Montana,Montana LS 1.4 (Flex) manual,"R$ 49.990,00","Samambaia, DF",2015/2016,121.750 Km
Ford New Fiesta Hatch,New Fiesta SE 1.6 16V PowerShift automático,"R$ 49.990,00","Mococa, SP",2016/2016,90.000 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.990,00","Campinas, SP",2016/2016,93.360 Km
Lifan X60,X60 1.8 16V VVT Talent manual,"R$ 49.990,00","Camboriú, SC",2015/2016,180.000 Km
Jac T6,T6 2.0 16V VVT Jet Flex manual,"R$ 49.990,00","São Paulo, SP",2015/2016,51.000 Km
Hyundai HB20,HB20 1.0 Comfort Plus manual,"R$ 49.990,00","Rio das Ostras, RJ",2015/2016,70.000 Km
Renault Duster,Duster 1.6 16V Expression (Flex) manual,"R$ 49.990,00","Franca, SP",2014/2015,84.000 Km
Volkswagen Up!,Up! 1.0 12v E-Flex cross up! manual,"R$ 49.990,00","Olinda, PE",2014/2015,71.345 Km
Ford Ka,Ka Hatch SEL 1.5 16v (Flex) manual,"R$ 49.990,00","Gravataí, RS",2015/2015,43.111 Km
Ford Ka,Ka Hatch SEL 1.5 16v (Flex) manual,"R$ 49.990,00","Porto Alegre, RS",2015/2015,43.111 Km
Ford Ka,Ka Hatch SEL 1.5 16v (Flex) manual,"R$ 49.990,00","Viamão, RS",2015/2015,43.111 Km
Ford Ka,Ka Hatch SEL 1.5 16v (Flex) manual,"R$ 49.990,00","Porto Alegre, RS",2015/2015,43.111 Km
Ford New Fiesta Hatch,New Fiesta Titanium 1.6 16V manual,"R$ 49.990,00","Rio de Janeiro, RJ",2014/2015,123.000 Km
Ford New Fiesta Hatch,New Fiesta SE 1.6 16V PowerShift automático,"R$ 49.990,00","São Paulo, SP",2015/2015,48.000 Km
Chevrolet Spin,Spin LT 5S 1.8 (Flex) manual,"R$ 49.990,00","Caraguatatuba, SP",2014/2015,127.000 Km
Volkswagen Up!,Up! 1.0 12v E-Flex cross up! manual,"R$ 49.990,00","Contagem, MG",2015/2015,86.759 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.990,00","Campinas, SP",2014/2015,95.263 Km
Hyundai HB20,HB20 1.6 Comfort Style manual,"R$ 49.990,00","Rio de Janeiro, RJ",2015/2015,68.000 Km
Ford New Fiesta Hatch,New Fiesta Titanium 1.6 16V automático,"R$ 49.990,00","Curitiba, PR",2014/2015,123.000 Km
Volkswagen Saveiro,Saveiro 1.6 Surf CS (Flex) manual,"R$ 49.990,00","Mogi das Cruzes, SP",2014/2015,148.000 Km
Hyundai HB20,HB20 1.6 Comfort manual,"R$ 49.990,00","Taubaté, SP",2013/2014,99.000 Km
Honda Fit,Fit CX 1.4 16v (Flex) automático,"R$ 49.990,00","Cuiabá, MT",2014/2014,91.466 Km
Volkswagen Saveiro,Saveiro 1.6 (Flex) (cab. estendida) manual,"R$ 49.990,00","São João de Meriti, RJ",2014/2014,83.121 Km
Fiat 500,500 Cult 1.4 Evo (Flex) automático,"R$ 49.990,00","Campinas, SP",2014/2014,83.000 Km
Chevrolet Onix,Onix 1.4 LTZ SPE/4 manual,"R$ 49.990,00","Palhoça, SC",2013/2014,86.800 Km
Hyundai HB20,HB20 1.6 Comfort manual,"R$ 49.990,00","Peruíbe, SP",2014/2014,100.000 Km
Chevrolet Prisma,Prisma 1.4 LTZ SPE/4 manual,"R$ 49.990,00","Campinas, SP",2014/2014,84.000 Km
Hyundai HB20,HB20 1.6 Comfort manual,"R$ 49.990,00","Jundiaí, SP",2014/2014,85.000 Km
Hyundai HB20X,HB20X Style 1.6 automático,"R$ 49.990,00","São Paulo, SP",2014/2014,143.000 Km
Chevrolet Onix,Onix 1.4 LTZ SPE/4 manual,"R$ 49.990,00","Presidente Prudente, SP",2013/2014,119.000 Km
Ford EcoSport,Ecosport SE 2.0 16V Powershift (Flex) automático,"R$ 49.990,00","São Bernardo do Campo, SP",2014/2014,98.000 Km
Hyundai Tucson,Tucson GLS 2.0 16V (aut) automático,"R$ 49.990,00","Brasília, DF",2012/2013,162.815 Km
Ford EcoSport,Ecosport Titanium 1.6 16V (Flex) manual,"R$ 49.990,00","Rio de Janeiro, RJ",2013/2013,90.000 Km
Hyundai HB20,HB20 1.6 Premium manual,"R$ 49.990,00","Colatina, ES",2012/2013,93.613 Km
Chevrolet Cruze,Cruze LT 1.8 16V Ecotec (Flex) manual,"R$ 49.990,00","Valinhos, SP",2011/2012,138.000 Km
Mitsubishi Lancer,Lancer 2.0 16V CVT (aut) automático,"R$ 49.990,00","Mogi das Cruzes, SP",2011/2012,132.000 Km
Kia Soul,Soul 1.6 16V (aut)U166 automático,"R$ 49.990,00","Campinas, SP",2011/2012,161.830 Km
Chevrolet Cruze,Cruze LT 1.8 16V Ecotec (Aut)(Flex) automático,"R$ 49.990,00","Pindamonhangaba, SP",2012/2012,92.600 Km
Chevrolet Cruze,Cruze LT 1.8 16V Ecotec (Aut)(Flex) automático,"R$ 49.990,00","Campinas, SP",2011/2012,208.000 Km
Volkswagen Saveiro,Saveiro Cross 1.6 (Flex) (cab. estendida) manual,"R$ 49.990,00","Campinas, SP",2011/2011,139.000 Km
Hyundai i30,i30 GLS 2.0 16V (aut) automático,"R$ 49.990,00","Campinas, SP",2011/2011,111.111 Km
SsangYong Kyron,Kyron Executivo 2.0 GLS automático,"R$ 49.990,00","Brasília, DF",2010/2011,215.000 Km
Honda Civic,New Civic LXL 1.8 16V i-VTEC (Flex) manual,"R$ 49.990,00","Curitiba, PR",2011/2011,140.000 Km
Volkswagen Jetta,Jetta 2.5 20V automático,"R$ 49.990,00","Araraquara, SP",2011/2011,130.123 Km
Fiat Strada,Strada Adventure 1.8 8V (Flex) (Cabine Dupla) manual,"R$ 49.990,00","Criciúma, SC",2010/2010,127.000 Km
Renault Kwid,Kwid 1.0 Intense manual,"R$ 49.998,00","Mogi das Cruzes, SP",2019/2020,56.276 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.999,00","Niterói, RJ",2021/2021,37.000 Km
Ford Ka,Ka 1.0 SE Plus manual,"R$ 49.999,00","Rio de Janeiro, RJ",2020/2020,30.000 Km
Chevrolet Joy Plus,Joy Plus 1.0 SPE/4 Eco manual,"R$ 49.999,00","Rio de Janeiro, RJ",2020/2020,45.000 Km
Fiat Argo,Argo Drive 1.0 Firefly (Flex) manual,"R$ 49.999,00","Rio de Janeiro, RJ",2018/2019,48.662 Km
Fiat Argo,Argo Drive 1.0 Firefly (Flex) manual,"R$ 49.999,00","Rio de Janeiro, RJ",2018/2019,31.406 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 49.999,00","Guarulhos, SP",2018/2019,67.319 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 49.999,00","São João de Meriti, RJ",2019/2019,50.000 Km
Fiat Strada,Strada Hard Working 1.4 (Flex) manual,"R$ 49.999,00","Rio de Janeiro, RJ",2018/2018,44.700 Km
Volkswagen Fox,Fox 1.6 MSI Connect (Flex) manual,"R$ 49.999,00","São João de Meriti, RJ",2017/2018,58.097 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.999,00","Macaé, RJ",2016/2017,61.580 Km
Fiat Punto,Punto Attractive 1.4 (Flex) manual,"R$ 49.999,00","Belém, PA",2016/2016,24.000 Km
Hyundai HB20S,HB20S 1.6 Comfort Plus (Aut) automático,"R$ 49.999,00","Rio de Janeiro, RJ",2014/2015,58.100 Km
Ford Focus Hatch,Focus Hatch S 1.6 16V TiVCT manual,"R$ 49.999,00","Ribeirão Preto, SP",2013/2014,140.000 Km
Ford EcoSport,Ecosport Titanium 2.0 16V (Flex) (Aut) automático,"R$ 49.999,00","Rio de Janeiro, RJ",2013/2013,32.735 Km
Toyota Corolla,Corolla Sedan 1.8 Dual VVT-i GLI (flex) automático,"R$ 49.999,00","Rio de Janeiro, RJ",2011/2012,78.514 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 50.000,00","Parnamirim, RN",2020/2021,57.000 Km
Volkswagen Gol,Gol 1.0 MPI (Flex) manual,"R$ 50.000,00","São Paulo, SP",2019/2020,67.500 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 50.000,00","São Carlos, SP",2020/2020,70.668 Km
Volkswagen Gol,Gol 1.0 MPI (Flex) manual,"R$ 50.000,00","Belo Horizonte, MG",2018/2019,50.000 Km
Renault Logan,Logan Expression 1.6 16V SCe (Flex) manual,"R$ 50.000,00","Três Pontas, MG",2018/2019,70.000 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 50.000,00","Ipatinga, MG",2019/2019,64.601 Km
Ford Ka,Ka 1.5 SE Plus (Flex) manual,"R$ 50.000,00","Santo André, SP",2018/2018,84.550 Km
Fiat Uno,Uno Way 1.3 Firefly (Flex) manual,"R$ 50.000,00","Matão, SP",2018/2018,71.472 Km
Volkswagen Voyage,Voyage 1.6 MSI Trendline (Flex) manual,"R$ 50.000,00","São João da Boa Vista, SP",2017/2018,72.000 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 50.000,00","Mossoró, RN",2018/2018,79.279 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 50.000,00","Contagem, MG",2018/2018,36.970 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 50.000,00","Porto Velho, RO",2016/2017,58.946 Km
Volkswagen Saveiro,Saveiro Trendline 1.6 MSI CS (Flex) manual,"R$ 50.000,00","Lins, SP",2016/2016,171.000 Km
Hyundai HB20,HB20 1.0 Comfort Plus manual,"R$ 50.000,00","Bebedouro, SP",2015/2015,131.000 Km
